unit_code,codigo_organismo,nombre_organismo,region_raw,fecha_descubierto
1096351,116296,I MUNICIPALIDAD DE LAS CABRAS,Región del Libertador General Bernardo O´Higgins,2026-05-21
1256505,1842551,CORPORACION DE DESARROLLO DE LA COMUNA DE SAN VICENTE,Región del Libertador General Bernardo O´Higgins,2026-05-21
1339542,7011,SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,Región del Libertador General Bernardo O´Higgins,2026-05-21
1398,7054,SERVICIO DE SALUD LIBERTADOR BDO OHIGGINS,Región del Libertador General Bernardo O´Higgins,2026-05-21
1501729,118621,I MUNICIPALIDAD DE PICHIDEGUA,Región del Libertador General Bernardo O´Higgins,2026-05-21
1622,7443,SERVICIO DE SALUD HOSPITAL DE SAN VICENTE DE TAGUA TAGUA,Región del Libertador General Bernardo O´Higgins,2026-05-21
1624,7445,SERVICIO DE SALUD HOSPITAL DE NANCAGUA,Región del Libertador General Bernardo O´Higgins,2026-05-21
1626,7447,Hospital de Lolol,Región del Libertador General Bernardo O´Higgins,2026-05-21
1627,7448,SERVICIO DE SALUD HOSPITAL DE SAN FERNANDO,Región del Libertador General Bernardo O´Higgins,2026-05-21
1743,7365,I MUNICIPALIDAD DE LITUECHE,Región del Libertador General Bernardo O´Higgins,2026-05-21
2080,7374,SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,Región del Libertador General Bernardo O´Higgins,2026-05-21
2107,7314,SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,Región del Libertador General Bernardo O´Higgins,2026-05-21
2401,87167,I MUNICIPALIDAD DE RANCAGUA,Región del Libertador General Bernardo O´Higgins,2026-05-21
2402,87167,I MUNICIPALIDAD DE RANCAGUA,Región del Libertador General Bernardo O´Higgins,2026-05-21
2565,92414,I MUNICIPALIDAD DE CHEPICA,Región del Libertador General Bernardo O´Higgins,2026-05-21
2675,99101,I MUNICIPALIDAD DE MOSTAZAL,Región del Libertador General Bernardo O´Higgins,2026-05-21
2775,100555,I MUNICIPALIDAD DE RENGO,Región del Libertador General Bernardo O´Higgins,2026-05-21
2778,100555,I MUNICIPALIDAD DE RENGO,Región del Libertador General Bernardo O´Higgins,2026-05-21
3016,113258,I MUNICIPALIDAD DE LOLOL,Región del Libertador General Bernardo O´Higgins,2026-05-21
3177,113852,ILUSTRE MUNICIPALIDAD DE MACHALI,Región del Libertador General Bernardo O´Higgins,2026-05-21
3656,116215,I MUNICIPALIDAD DE REQUINOA,Región del Libertador General Bernardo O´Higgins,2026-05-21
3729,116404,I MUNICIPALIDAD DE CHIMBARONGO,Región del Libertador General Bernardo O´Higgins,2026-05-21
3730,116404,I MUNICIPALIDAD DE CHIMBARONGO,Región del Libertador General Bernardo O´Higgins,2026-05-21
3838,117584,I MUNICIPALIDAD DE SANTA CRUZ,Región del Libertador General Bernardo O´Higgins,2026-05-21
3864,117584,I MUNICIPALIDAD DE SANTA CRUZ,Región del Libertador General Bernardo O´Higgins,2026-05-21
3928,117179,ILUSTRE MUNICIPALIDAD DE PICHILEMU,Región del Libertador General Bernardo O´Higgins,2026-05-21
3981,118971,I MUNICIPALIDAD DE PAREDONES,Región del Libertador General Bernardo O´Higgins,2026-05-21
3997,119266,I MUNICIPALIDAD DE COLTAUCO,Región del Libertador General Bernardo O´Higgins,2026-05-21
4143,123526,I MUNICIPALIDAD DE PALMILLA,Región del Libertador General Bernardo O´Higgins,2026-05-21
4768,165285,I MUNICIPALIDAD DE LA ESTRELLA,Región del Libertador General Bernardo O´Higgins,2026-05-21
4884,7359,SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES,Región del Libertador General Bernardo O´Higgins,2026-05-21
4965,115304,I MUNICIPALIDAD DE MARCHIGUE,Región del Libertador General Bernardo O´Higgins,2026-05-21
522,7439,Hospital de Litueche,Región del Libertador General Bernardo O´Higgins,2026-05-21
580075,7365,I MUNICIPALIDAD DE LITUECHE,Región del Libertador General Bernardo O´Higgins,2026-05-21
594965,1172700,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Región del Libertador General Bernardo O´Higgins,2026-05-21
615,6951,SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO,Región del Libertador General Bernardo O´Higgins,2026-05-21
642,6977,SERVICIO DE VIVIENDA Y URBANIZACION VI REGION,Región del Libertador General Bernardo O´Higgins,2026-05-21
757818,123526,I MUNICIPALIDAD DE PALMILLA,Región del Libertador General Bernardo O´Higgins,2026-05-21
823,7245,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Región del Libertador General Bernardo O´Higgins,2026-05-21
889473,1484134,UNIVERSIDAD DE O'HIGGINS,Región del Libertador General Bernardo O´Higgins,2026-05-21
932,7216,INSTITUTO NACIONAL DE DEPORTES DE CHILE,Región del Libertador General Bernardo O´Higgins,2026-05-21
